V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
-0.626453811,0.183643324,-0.835628612,1.595280802,0.329507772,-0.820468384,0.487429052,0.738324705,0.575781352,-0.305388387
1.511781168,0.389843236,-0.621240581,-2.214699887,1.124930918,-0.044933609,-0.016190263,0.943836211,0.821221195,0.593901321
0.918977372,0.782136301,0.074564983,-1.989351696,0.619825748,-0.05612874,-0.155795507,-1.470752384,-0.478150055,0.41794156
1.358679552,-0.102787727,0.387671612,-0.053805041,-1.377059557,-0.414994563,-0.394289954,-0.059313397,1.100025372,0.763175748
-0.164523596,-0.25336168,0.696963375,0.556663199,-0.688755695,-0.707495157,0.364581962,0.768532925,-0.112346212,0.881107726
0.39810588,-0.612026393,0.341119691,-1.129363096,1.433023702,1.980399899,-0.367221476,-1.044134626,0.569719627,-0.135054604
2.401617761,-0.039240003,0.689739362,0.028002159,-0.743273209,0.1887923,-1.804958629,1.465554862,0.153253338,2.17261167
0.475509529,-0.709946431,0.610726353,-0.934097632,-1.2536334,0.291446236,-0.443291873,0.001105352,0.074341324,-0.589520946
-0.568668733,-0.135178615,1.178086997,-1.5235668,0.593946188,0.332950371,1.063099837,-0.304183924,0.37001881,0.267098791
-0.542520031,1.207867806,1.160402616,0.70021365,1.586833455,0.558486426,-1.276592208,-0.573265414,-1.224612615,-0.473400636
-0.620366677,0.042115873,-0.910921649,0.158028772,-0.654584644,1.767287269,0.716707476,0.910174229,0.384185358,1.682176081
-0.635736454,-0.46164473,1.432282239,-0.650696353,-0.207380744,-0.392807929,-0.319992869,-0.279113303,0.494188331,-0.177330482
-0.505957462,1.343038825,-0.214579409,-0.17955653,-0.100190741,0.712666307,-0.073564404,-0.037634171,-0.681660479,-0.324270272
0.06016044,-0.588894486,0.531496193,-1.518394082,0.306557861,-1.536449824,-0.300976127,-0.528279904,-0.652094781,-0.056896778
-1.914359426,1.176583312,-1.664972436,-0.463530401,-1.115920105,-0.750819001,2.087166546,0.01739562,-1.28630053,-1.640605534
0.450187101,-0.018559833,-0.318068375,-0.929362147,-1.48746031,-1.075192297,1.000028804,-0.621266695,-1.384426847,1.869290622
0.425100377,-0.238647101,1.058483049,0.886422651,-0.619243048,2.206102465,-0.25502703,-1.42449465,-0.144399602,0.207538339
2.307978399,0.105802368,0.456998805,-0.077152935,-0.334000842,-0.034726028,0.787639606,2.075245009,1.027392439,1.207908398
-1.231323422,0.98389557,0.219924804,-1.467250029,0.521022743,-0.158754605,1.464587312,-0.766082,-0.430211754,-0.926109497
-0.177103961,0.402011779,-0.731748173,0.830373168,-1.208082786,-1.047984413,1.441157707,-1.015847465,0.411974712,-0.381076051
0.40940184,1.688873286,1.586588433,-0.330907801,-2.285235535,2.49766159,0.667066167,0.541327336,-0.013399523,0.510108423
-0.164375832,0.420694643,-0.400246744,-1.370207878,0.987838267,1.519745025,-0.308740569,-1.253289756,0.642241306,-0.044709137
-1.733218407,0.00213186,-0.630300334,-0.34096858,-1.156572363,1.803141908,-0.331132036,-1.605513412,0.197193439,0.263175646
-0.9858267,-2.888920672,-0.640481703,0.570507636,-0.059723276,-0.098178744,0.560820729,-1.186458639,1.096777044,-0.005344028
0.707310667,1.034107735,0.223480415,-0.878707613,1.162964556,-2.000164945,-0.54479074,-0.255670709,-0.166121037,1.020463909
0.136221893,0.407167603,-0.069654813,-0.247664342,0.695550807,1.146228357,-2.403096215,0.572739555,0.374724407,-0.425267722
0.951012808,-0.389237182,-0.284330662,0.857409778,1.719627299,0.270054901,-0.42218401,-1.189113295,-0.331032979,-0.939829327
-0.258932583,0.394379168,-0.851857092,2.649166881,0.156011676,1.130207267,-2.28912398,0.741001157,-1.31624516,0.919803678
0.398130155,-0.407528579,1.32425863,-0.701231669,-0.580614304,-1.001072181,-0.668178607,0.945184953,0.43370215,1.005159218
-0.390118664,0.376370292,0.244164924,-1.426257342,1.778429287,0.134447661,0.765598999,0.955136677,-0.050565701,-0.30581542
0.893673702,-1.047298149,1.971337386,-0.383632106,1.654145302,1.512212694,0.082965734,0.567220915,-1.02454848,0.323006503
1.043612458,0.099078487,-0.454136909,-0.655781852,-0.035922423,1.069161461,-0.48397493,-0.121010111,-1.294140004,0.494312836
1.30790152,1.497041009,0.814702731,-1.86978879,0.482029504,0.456135603,-0.353400286,0.170489471,-0.864035954,0.679230774
-0.327101015,-1.569082185,-0.367450756,1.364434929,-0.334281365,0.732750042,0.94658564,0.004398704,-0.352322306,-0.529695509
0.739589226,-1.063457415,0.246210844,-0.289499367,-2.264889356,-1.408850456,0.916019329,-0.191278951,0.803283216,1.887474463
1.473881181,0.677268492,0.379962687,-0.192798426,1.577891795,0.596234109,-1.173576941,-0.155642535,-1.91890982,-0.195258846
-2.59232767,1.314002167,-0.635543001,-0.429978839,-0.169318332,0.612218174,0.678340177,0.567951972,-0.572542604,-1.363291256
-0.388722244,0.277914132,-0.823081122,-0.068840934,-1.167662326,-0.008309014,0.128855402,-0.145875628,-0.163910957,1.763552003
0.762586512,1.111431081,-0.923206953,0.164341838,1.154825187,-0.056521425,-2.129360648,0.344845762,-1.904955446,-0.811170153
1.324004321,0.615636849,1.091668956,0.306604862,-0.110158762,-0.924312773,1.592913754,0.045010598,-0.715128401,0.8652231
1.074440958,1.895654774,-0.602997304,-0.390867821,-0.416222032,-0.375657423,-0.366630946,-0.295677453,1.44182041,-0.697538292
-0.388167506,0.652536452,1.124772447,-0.772110803,-0.508086216,0.52362059,1.017754227,-0.251164588,-1.429993447,1.709121032
1.435069572,-0.710371146,-0.065067574,-1.759468735,0.569722972,1.612346798,-1.637280647,-0.779568513,-0.641176934,-0.681131394
-2.033285596,0.500963559,-1.53179814,-0.024997639,0.592984721,-0.198195421,0.892008392,-0.025715071,-0.647660451,0.646359415
-0.43383274,1.772611185,-0.018259711,0.852814994,0.205162903,-3.008048599,-1.366111931,-0.42410226,0.236803664,-2.34272312
0.961696633,-0.604425734,-0.752877279,-1.555611593,-1.453893738,0.056331836,0.509369407,-2.09788296,-1.004361979,0.535771722
-0.453037085,2.165368502,1.245746673,0.595498034,0.00488445,0.279360782,-0.705906125,0.628017153,1.48021396,1.08342991
-0.813244257,-1.618876849,-0.109655699,0.440889371,1.35099398,-1.318609485,0.364384593,0.233499835,1.193955261,-0.027909972
-0.357298855,-1.146814136,-0.517420484,-0.362123773,2.350554326,2.446531376,-0.166703279,-1.043667439,-1.972934934,0.514671633
-1.090573584,2.284659326,-0.885617573,0.11110643,3.810276681,-1.108909998,0.307566624,-1.106894472,0.347653649,-0.873264535
0.077303123,-0.296868642,-1.18324224,0.011292688,0.991601036,1.593967454,-1.372711271,-0.249610933,1.159424527,-1.114222348
-2.528500689,-0.935902559,-0.967239458,0.047488592,-0.403736793,0.231496128,-0.422372408,0.374118395,-0.366005775,1.190101447
-0.737327525,0.290666645,-0.884849568,0.208006479,-0.047730172,-1.684520646,-0.144226557,1.180213666,0.681399923,0.143247631
-1.192316444,1.169228653,0.079201709,-0.451773753,1.642028213,-0.769592322,0.303360961,1.281737421,0.602222795,-0.307022265
-0.418418103,0.35513553,0.513481115,0.0186074,1.318448972,-0.065832,-0.700296078,0.537326132,-2.201782322,0.391973744
0.496960952,-0.224874715,-1.117143165,-0.394994603,1.549830342,-0.74351448,-2.331712118,0.812245442,-0.501310657,-0.510886566
-1.215364041,-0.022558628,0.7012393,-0.587482026,-0.606727941,1.096640215,-0.247509677,-0.159901713,-0.625778251,0.900434636
-0.994193629,0.849250386,0.805702289,-0.467600936,0.848420314,0.986769864,0.575620289,2.024842045,-1.962353191,-1.164920931
-1.376519214,0.167679934,1.584629079,1.677888953,0.488296698,0.878673263,-0.144874874,0.46897176,0.376235477,-0.761040275
-0.293294934,-0.134841264,1.393845816,-1.03698869,-2.114335148,0.768278218,-0.816160621,-0.436106923,0.904705031,-0.763086265
-0.34106698,1.502424534,0.528307712,0.542191355,-0.136673356,-1.136733853,-1.496627154,-0.223385644,2.001719228,0.221703816
0.164372909,0.332623609,-0.385207999,-1.398754027,2.675740796,-0.423686089,-0.298601512,-1.792341727,-0.248008225,-0.247303918
-0.255510379,-1.7869381,1.784662816,1.763586348,0.689600222,-1.100740644,0.714509357,-0.246470317,-0.319786166,1.362644293
-1.22788259,-0.511219233,-0.731194999,0.019752007,-1.572863915,-0.70333327,0.715932089,0.465214906,-0.973902306,0.55921773
-2.432639745,-0.340484927,0.713033195,-0.659037386,-0.036402623,-1.593286302,0.847792797,-1.850388849,-0.323650632,-0.255248113
0.060921227,-0.823491629,1.829730485,-1.429916216,0.254137143,-2.939773695,0.002415809,0.509665571,-1.084720001,0.704832977
0.33097635,0.976327473,-0.84333988,-0.970579905,-1.771531349,-0.322470342,-1.338800742,0.688156028,0.071280652,2.189752359
-1.157707599,1.181688064,-0.527368362,-1.456628011,0.57296737,-1.433377705,-1.055185019,-0.733111877,0.210907264,-0.998920727
1.077850323,-1.198974383,0.216637035,0.14308703,-1.065750091,-0.428623411,-0.656179477,0.959394327,1.556052636,-1.040796434
0.930572409,-0.075445931,-1.967195349,-0.755903643,0.461149161,0.145106631,-2.442311321,0.580318685,0.655051998,-0.304508837
-0.707568233,1.971572014,-0.089998681,-0.014017252,-1.123456937,-1.344130123,-1.523155771,-0.42196821,1.360924464,1.753794845
1.568364734,1.29675557,-0.237596251,-1.224150136,-0.32781268,-2.412450276,-0.313792873,1.659878705,0.130953101,1.095888683
0.489340957,-0.778910295,1.743559353,-0.078387285,-0.975553793,0.070659825,-1.518599529,0.863779033,0.501568385,-0.35478133
-0.488428888,0.936293947,-1.062408386,-0.983820872,0.424247877,-0.451313481,0.925084797,-0.19862081,1.194851017,0.495544705
-2.245152574,-1.33537136,1.282775206,0.690795904,-0.967062668,-1.345793685,1.033665389,-0.81177646,1.801725479,1.77154196
-1.45469137,-0.845654313,-1.250479659,0.667288068,-1.290769688,-2.035003538,2.021346994,1.005973488,0.817123601,-0.663988284
-0.011281231,0.619677256,-1.281238742,-0.124261326,0.175741655,1.692773794,0.642132717,1.282233032,0.140546974,-1.112502683
-0.339676972,-1.664764639,0.928851762,1.416826835,-0.062720778,-0.980902336,1.087150251,0.139327027,-0.386272098,1.123585423
-0.759845657,1.148959103,-0.842476259,0.39141334,0.891377242,-1.335258713,0.398123478,-0.111586803,0.675743917,-0.788597935
-0.086986334,1.382284008,0.168490164,0.823190948,-0.220894598,-1.029391655,-0.010925691,-1.224991155,-2.596111388,1.169122592
-1.086908817,-1.826083013,0.995281807,-0.011861781,-0.599628395,-0.177947987,-0.425981342,0.996658776,0.727660709,-1.726630596
